254	263	0
-210	-259	0
77	-33	0
264	-119	0
-129	-71	0
-447	-488	0
-119	-450	0
-148	-363	0
-328	88	0
67	-386	0
-376	222	0
488	130	0
240	152	0
-462	-181	0
180	-181	0
237	-437	0
121	185	0
-360	458	0
-69	420	0
205	48	0
260	-94	0
53	275	0
4	176	0
475	-256	0
-112	-88	0
-312	263	0
-162	397	0
-139	63	0
-383	266	0
-491	-398	0
457	270	0
-62	-246	0
-235	-67	0
153	12	0
-77	-218	0
-292	-432	0
-385	-353	0
6	-69	0
-142	-459	0
32	-269	0
-195	-339	0
-111	292	0
413	-102	0
-84	410	0
-336	226	0
-362	183	0
-96	-141	0
-446	-237	0
143	-361	1
437	-451	0
129	65	0
-380	-387	0
453	-360	0
-110	195	0
30	264	0
-128	405	0
169	-254	0
-389	-71	0
195	-98	0
107	-437	0
425	327	0
-4	20	0
442	-28	0
468	-336	0
197	-482	0
468	453	0
368	-154	0
42	414	0
-212	406	0
-371	60	0
490	266	0
175	-380	0
52	-124	0
-203	-106	0
206	-116	0
176	70	0
401	242	0
-104	20	0
-144	1	0
-265	220	0
296	348	0
209	-169	0
-219	-381	0
-53	-22	0
-381	18	0
194	164	0
-129	61	0
447	-30	0
100	-249	0
-93	-469	0
137	307	0
431	-188	0
486	7	0
-113	-196	0
324	-186	0
-432	-478	0
-5	300	0
110	-43	0
386	477	0
241	60	0
-445	-243	0
-102	189	0
249	262	0
-236	-355	0
-305	24	0
-462	320	0
447	130	0
-279	281	0
-12	-465	0
-40	370	0
134	-352	0
-234	107	0
349	65	0
64	-74	0
-174	-97	0
-80	-373	0
-469	272	0
90	-423	0
-129	-280	0
-122	96	0
-197	-227	0
-171	-167	0
159	-444	0
96	-389	0
114	-481	0
116	146	0
141	-363	1
-193	487	0
386	183	0
-317	-104	0
192	306	0
482	16	0
162	-426	0
27	-311	0
-48	-169	0
-336	-94	0
288	-70	0
-81	375	0
-160	421	0
497	-197	0
318	-243	0
-125	-374	0
-35	475	0
-119	-20	0
367	223	0
-40	312	0
135	-382	0
478	130	0
-384	-428	0
-81	-487	0
292	48	0
335	-382	0
-279	106	0
207	-209	0
-284	139	0
-96	-131	0
134	-11	0
433	301	0
-206	-360	0
-361	298	0
53	34	0
198	-223	0
-11	-7	0
195	-25	0
45	410	0
-248	-236	0
88	-198	0
345	221	0
42	-119	0
-472	179	0
-221	171	0
-98	206	0
-271	-78	0
358	-485	0
357	-37	0
-326	-483	0
79	-94	0
-200	142	0
-162	118	0
291	365	0
337	151	0
-497	229	0
117	-158	0
226	-489	0
193	-171	0
343	475	0
311	-116	0
68	191	0
-483	-67	0
-240	433	0
447	-229	0
322	-131	0
364	246	0
166	359	0
-5	-343	0
-424	-120	0
326	303	0
393	433	0
96	-129	0
-220	156	0
